period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2025-01-10,0.0011205891,0.0199864963,0.0010275581,0,0.0000000000,1.0000000000,13,2,1.0000000000,1020.1875635768,1001.1212171561
2025-01-14,0.0015175953,0.0056734870,0.0014480410,0,0.0000000000,1.0000000000,13,3,1.0000000000,1025.9920346315,1002.6416674038
2025-01-16,0.0003899407,0.0040530018,0.0002585518,0,0.0000000000,1.0000000000,13,4,1.0000000000,1030.1588205125,1003.0327144023
2025-01-21,0.0004038675,-0.0013316336,-0.0010615967,0,0.0000000000,1.0000000000,13,2,1.0000000000,1028.7879394034,1003.4378885351
2025-01-23,0.0003354999,-0.0002640114,-0.0010342278,0,0.0000000000,1.0000000000,13,2,1.0000000000,1028.5163634851,1003.7745983425
2025-01-27,0.0002862770,0.0019914974,-0.0009829226,0,0.0000000000,1.0000000000,13,3,1.0000000000,1030.5666920749,1004.0619971002
2025-01-29,0.0002579413,0.0000369616,-0.0010627015,0,0.0000000000,1.0000000000,13,4,1.0000000000,1030.6047841724,1004.3210195537
2025-01-31,0.0003521099,0.0007136134,-0.0009446120,0,0.0000000000,1.0000000000,13,4,1.0000000000,1031.3405000708,1004.6747131662
2025-02-04,0.0003586270,0.0004412833,-0.0008521324,0,0.0000000000,1.0000000000,13,4,1.0000000000,1031.7957138123,1005.0350812493
2025-02-06,0.0003455761,0.0007392395,-0.0008055553,0,0.0000000000,1.0000000000,13,4,1.0000000000,1032.5587399574,1005.3824574214
2025-02-10,0.0003519799,0.0010843339,-0.0007572819,0,0.0000000000,1.0000000000,13,6,1.0000000000,1033.6789856418,1005.7363940812
2025-02-12,0.0003709602,-0.0015087443,-0.0006914202,0,0.0000000000,1.0000000000,13,4,1.0000000000,1032.1206042458,1006.1095514954
2025-02-14,0.0003290265,0.0022876047,-0.0008490797,0,0.0000000000,1.0000000000,13,4,1.0000000000,1034.4843908392,1006.4406426298
2025-02-19,0.0004308284,-0.0004345368,-0.0008381264,0,0.0000000000,1.0000000000,13,4,1.0000000000,1034.0349669840,1006.8743393012
